Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2024,2024.1,2024.2,2024.3,2024.4,2024.5,2024.6,2024.7,2024.8,2024.9,2024.10,2024.11,2024.12,2024.13,2024.14,2024.15,2024.16
Thaddeus Ward,27,"6' 3""",211,AAA,WSH,7.1,7.9,49%,7.8%,5.74,470,24,24,101.2,96,12,61,80,89,0.68,5.40,1.73
Player,Age,Ht.,Wt.,Lvl.,Org,BB/9,K/9,GB%,SwSt%,FIP,BF,G,GS,IP,H,HR,ER,BB,K,GO/AO,ERA,WHIP
Jagger Haynes,21,"6' 3""",170,A+,SD,5.2,9.2,48%,9.9%,4.22,427,21,20,101.1,78,9,46,59,103,1.22,4.09,1.35
Blake Adams,23,"6' 2""",215,A+,COL,2.1,8.6,35%,10.5%,2.97,422,18,17,101.0,101,7,31,23,96,1.22,2.76,1.23
A.J. Blubaugh,24,"6' 2""",190,AAA,HOU,3.9,8.3,41%,12.9%,4.18,428,22,20,100.1,97,11,46,43,93,1.25,4.13,1.40
Edinson Batista,22,"6' 2""",210,A+,HOU,4.3,8.3,53%,13.0%,5.41,435,23,14,100.1,83,17,58,48,93,0.58,5.20,1.31
Felix Arronde,21,"6' 3""",185,A,KC,2.8,8.7,56%,12.9%,3.60,406,21,20,100.1,79,9,36,31,97,0.71,3.23,1.10
Jose Davila,21,"6' 3""",177,A,STL,3.8,9.5,41%,13.3%,2.66,423,20,20,100.0,90,0,40,42,105,1.15,3.60,1.32
Bryan Perez,20,"6' 2""",167,A,COL,4.4,10.0,63%,14.0%,3.77,456,20,20,100.0,94,6,48,49,111,0.55,4.32,1.43
Gary Gill Hill,19,"6' 2""",160,A,TB,1.9,9.2,60%,13.4%,2.79,392,20,19,100.0,82,7,30,21,102,0.72,2.70,1.03
Baron Stuart,25,"6' 4""",209,A+,NYY,3.3,7.7,49%,7.7%,3.29,417,20,20,100.0,88,4,40,37,86,0.82,3.60,1.25
Alberto Pacheco,21,"6' 1""",176,A,COL,3.9,9.0,48%,11.0%,4.17,424,19,18,99.2,85,11,42,43,100,0.83,3.79,1.28
Peyton Battenfield,27,"6' 4""",224,AAA,COL,3.6,6.6,32%,11.7%,6.17,458,22,20,99.2,127,24,87,40,73,1.79,7.86,1.68
Zach Plesac,29,"6' 3""",220,AAA,LAA,3.0,5.9,34%,9.2%,5.38,433,18,17,99.2,113,19,63,33,65,1.67,5.69,1.46
Mitch Myers,25,"6' 2""",200,A+,OAK,2.0,8.2,43%,10.4%,3.48,423,24,16,99.0,108,10,46,22,90,1.00,4.18,1.31
Bryan Caceres,24,"6' 1""",170,A+,WSH,4.5,6.4,37%,9.2%,4.39,459,24,21,99.0,114,6,57,49,70,1.22,5.18,1.65
Enmanuel Pinales,23,"6' 2""",185,A+,SD,3.4,8.6,36%,15.3%,4.17,412,20,19,99.0,86,13,41,37,95,1.81,3.73,1.24
Elijah Dale,23,"5' 11""",175,A,SEA,4.2,9.2,60%,11.9%,4.11,445,23,21,99.0,75,7,50,46,101,0.51,4.55,1.22
Zach Fruit,24,"6' 4""",212,A+,BAL,4.6,9.3,47%,13.7%,3.56,415,23,19,99.0,71,6,34,51,102,0.92,3.09,1.23
Drew Dowd,22,"6' 2""",206,A,TB,3.7,8.0,46%,13.7%,3.73,412,20,18,98.2,89,6,35,41,88,1.02,3.19,1.32
Joey Lucchesi,31,"6' 5""",225,AAA,NYM,4.4,6.8,59%,7.9%,4.91,427,20,17,98.2,99,13,54,48,74,0.67,4.93,1.49
Victor Juarez,21,"6' 0""",173,A+,COL,2.8,8.9,36%,12.1%,4.69,424,20,19,98.2,106,18,52,31,98,1.23,4.74,1.39
Wilber Dotel,21,"6' 3""",178,A+,PIT,4.6,8.9,39%,14.2%,5.65,434,23,23,98.2,93,21,62,50,97,1.38,5.66,1.45
Braeden Fausnaught,25,"6' 3""",235,A+,PHI,2.9,8.2,37%,14.3%,3.99,409,19,18,98.2,89,12,40,32,90,1.33,3.65,1.23
Jackson Ferris,20,"6' 4""",195,A+,LAD,3.9,10.9,41%,9.7%,2.74,408,20,20,98.1,71,4,37,43,119,1.09,3.39,1.16
Santiago Suarez,19,"6' 2""",175,A,TB,1.6,9.2,38%,13.2%,3.17,394,20,20,98.1,93,11,47,17,100,1.08,4.30,1.12
Josh Bostick,22,"6' 4""",205,A,SF,3.8,10.1,36%,14.6%,3.77,428,24,21,98.1,89,9,53,41,110,1.48,4.85,1.32
Will Dion,24,"5' 10""",180,AAA,CLE,4.0,9.3,39%,11.0%,4.94,431,24,23,98.0,99,18,60,44,101,1.01,5.51,1.46
Chayce McDermott,26,"6' 3""",197,AAA,BAL,5.3,12.9,34%,14.9%,3.66,425,21,20,97.0,81,11,42,57,139,1.42,3.90,1.42
Johan Dominguez,28,"6' 4""",190,AAA,CWS,4.6,7.3,50%,12.7%,4.91,430,23,19,97.0,96,12,47,49,79,0.86,4.36,1.49
Nic Swanson,25,"6' 2""",180,A+,HOU,4.1,9.6,46%,10.6%,4.41,423,23,22,97.0,92,14,56,44,103,1.10,5.20,1.40
Colton Gordon,25,"6' 4""",225,AAA,HOU,3.1,8.8,44%,10.0%,3.89,420,20,19,97.0,96,11,49,33,95,1.17,4.55,1.33
Spenser Watkins,32,"6' 2""",195,AAA,WSH,3.2,6.9,46%,11.2%,4.23,418,21,19,96.2,101,10,51,34,74,0.81,4.75,1.40
Mason Green,25,"6' 1""",195,A+,COL,4.3,9.2,46%,13.1%,3.89,407,20,15,96.2,83,9,30,46,99,1.32,2.79,1.33
Lyon Richardson,24,"6' 2""",207,AAA,CIN,5.4,8.4,46%,8.5%,4.41,432,23,19,96.1,87,8,49,58,90,0.80,4.58,1.51
Dylan Dodd,26,"6' 2""",210,AAA,ATL,2.7,8.1,42%,12.6%,4.30,425,21,17,96.0,111,14,54,29,86,1.15,5.06,1.46
Kenny Rosenberg,29,"6' 1""",195,AAA,LAA,3.2,7.9,38%,13.0%,5.62,410,18,18,96.0,94,22,47,34,84,1.49,4.41,1.33
Kyle Carr,22,"6' 1""",175,A+,NYY,4.8,8.3,49%,8.1%,3.71,412,22,22,96.0,86,5,50,51,89,0.81,4.69,1.43
Hunter Owen,22,"6' 6""",261,A+,KC,3.0,6.8,38%,8.3%,3.99,403,21,20,96.0,86,7,47,32,72,1.20,4.41,1.23
Will Warren,25,"6' 2""",175,AAA,NYY,3.3,10.8,47%,11.9%,4.60,425,20,20,95.2,99,18,65,35,115,0.72,6.11,1.40
Cristian Mena,21,"6' 2""",170,AAA,AZ,4.3,9.6,48%,13.4%,4.68,424,19,19,95.2,101,15,49,46,102,0.73,4.61,1.54
Tyler Gough,21,"6' 2""",205,A,SEA,4.4,9.3,46%,11.5%,3.14,414,23,23,95.2,88,3,46,47,99,1.20,4.33,1.41
Henry Williams,22,"6' 5""",200,A+,KC,3.7,8.0,49%,10.4%,3.96,400,20,19,95.2,85,8,42,39,85,0.98,3.95,1.30
Tyler Phillips,26,"6' 5""",225,AAA,PHI,3.8,7.7,51%,8.7%,4.27,413,16,16,95.1,99,11,55,40,82,0.62,5.19,1.46
Colin Fields,24,"6' 2""",200,A+,DET,2.9,9.2,40%,10.8%,3.65,384,24,19,95.1,76,9,35,31,97,1.25,3.30,1.12
Manuel Urias,23,"6' 6""",243,A+,HOU,2.8,8.9,42%,13.1%,5.68,428,23,11,95.1,113,25,71,30,94,0.99,6.70,1.50
Roel Garcia III,25,"6' 4""",245,A+,TB,2.4,7.8,36%,10.5%,4.35,407,23,18,95.1,100,14,45,25,83,1.76,4.25,1.31
Connor Gillispie,26,"5' 11""",185,AAA,CLE,3.9,9.1,34%,11.1%,5.40,406,23,11,95.0,82,20,42,41,96,1.48,3.98,1.29
Davis Daniel,27,"6' 1""",190,AAA,LAA,2.9,9.6,43%,8.0%,3.49,423,18,17,94.2,114,10,58,30,101,1.11,5.51,1.52
Jack Mahoney,23,"6' 3""",205,A,COL,2.1,8.7,50%,13.4%,2.89,390,17,17,94.2,87,6,37,22,91,0.63,3.52,1.15
Cam Day,22,"6' 2""",195,A,LAD,4.5,8.4,67%,17.2%,3.77,423,22,15,94.2,102,5,51,47,88,0.62,4.85,1.57
Ryan Cardona,24,"6' 1""",200,A+,CIN,3.3,10.4,33%,11.6%,3.03,382,20,17,94.1,67,7,35,35,109,1.49,3.34,1.08
Player,Age,Ht.,Wt.,Lvl.,Org,BB/9,K/9,GB%,SwSt%,FIP,BF,G,GS,IP,H,HR,ER,BB,K,GO/AO,ERA,WHIP
Justin Armbruester,25,"6' 4""",235,AAA,BAL,5.5,9.8,20%,11.1%,6.21,452,24,22,94.1,103,21,88,58,103,2.41,8.40,1.71
Alexander Cornielle,23,"6' 2""",180,A+,MIL,3.4,8.2,32%,13.2%,4.16,394,20,18,94.1,81,10,46,36,86,1.77,4.39,1.24
Luke Young,22,"6' 3""",170,A+,WSH,2.8,6.5,31%,9.6%,4.98,392,24,16,94.1,93,15,48,29,68,1.69,4.58,1.29
Jonathan Bowlan,27,"6' 6""",240,AAA,KC,3.2,8.3,46%,11.3%,4.50,406,28,16,94.0,95,14,49,33,87,0.96,4.69,1.36
Micah Ottenbreit,21,"6' 4""",190,A,PHI,3.9,9.5,43%,9.6%,3.80,410,19,19,94.0,88,8,51,41,99,1.06,4.88,1.37
Frank Mozzicato,21,"6' 3""",175,A+,KC,6.0,7.6,43%,10.8%,4.85,400,20,20,93.2,68,9,39,62,79,1.47,3.75,1.39
Yonny Chirinos,30,"6' 2""",225,AAA,MIA,3.1,7.5,49%,9.5%,3.94,391,17,17,93.2,83,9,33,32,78,0.85,3.17,1.23
Marcelo Perez,24,"5' 10""",195,A+,SEA,2.5,7.9,34%,10.4%,4.55,436,23,23,93.1,131,14,72,26,82,1.15,6.94,1.68
Mick Abel,23,"6' 5""",190,AAA,PHI,6.4,9.3,47%,8.2%,5.35,436,20,20,93.1,97,14,61,66,96,0.99,5.88,1.75
Yoniel Curet,21,"6' 2""",190,A+,TB,4.7,11.8,39%,12.8%,3.45,402,21,21,93.1,67,6,34,49,122,1.24,3.28,1.24
