,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2024,2024.1,2024.2,2024.3,2024.4,2024.5,2024.6,2024.7,2024.8,2024.9,2024.10,2024.11,2024.12,2024.13,2024.14,2024.15,2024.16
117,Josh Rogers,30,"6' 3""",211,AAA,COL,1.9,5.9,35%,8.5%,5.74,284,15,12,62.2,85,15,44,13,41,1.31,6.32,1.56
118,Devin Sweet,27,"5' 11""",183,AAA,DET,4.4,13.1,40%,16.0%,3.58,261,41,4,61.2,46,8,23,30,90,1.24,3.36,1.23
119,Chase Shugart,27,"5' 10""",200,AAA,BOS,4.3,10.9,57%,11.0%,3.77,273,29,5,61.1,58,6,33,29,74,0.80,4.84,1.42
120,Sam McWilliams,28,"6' 7""",230,AAA,CHC,6.0,12.9,33%,16.5%,5.20,283,34,4,61.1,58,13,45,41,88,1.24,6.60,1.61
121,Paul Fry,32,"6' 0""",205,AAA,SD,4.1,7.3,69%,6.0%,4.31,280,41,-,61.1,78,6,38,28,50,0.36,5.58,1.73
122,Aaron Sanchez,32,"6' 4""",212,AAA,TOR,5.7,6.0,40%,4.0%,6.93,292,14,14,61.1,64,13,54,39,41,0.94,7.92,1.68
123,Johnny Cueto,38,"5' 11""",229,AAA,LAA,1.9,6.6,-,-,4.43,261,12,12,61.1,66,9,33,13,45,0.84,4.84,1.29
124,Chad Dallas,24,"5' 11""",206,AAA,TOR,3.5,7.4,47%,8.0%,5.17,281,14,14,61.0,73,10,43,24,50,1.13,6.34,1.59
125,Misael Tamarez,24,"6' 1""",206,AAA,HOU,5.5,8.5,42%,8.9%,6.92,285,22,11,60.2,70,17,49,37,57,1.13,7.27,1.76
126,David Festa,24,"6' 6""",185,AAA,MIN,3.9,13.3,46%,16.5%,3.63,255,15,15,60.1,56,9,27,26,89,0.93,4.03,1.36
127,Andrew Bash,28,"6' 0""",190,AAA,TOR,4.5,9.4,34%,10.7%,3.72,264,18,14,60.1,54,4,25,30,63,1.33,3.73,1.39
128,Ryan Miller,28,"6' 0""",180,AAA,LAA,1.8,8.7,40%,14.5%,3.63,237,33,1,60.1,46,7,17,12,58,1.23,2.54,0.96
129,Zack Thompson,26,"6' 2""",215,AAA,STL,6.3,10.9,39%,10.7%,4.48,262,15,14,60.1,40,7,27,42,73,1.02,4.03,1.36
130,Blade Tidwell,23,"6' 4""",207,AAA,NYM,5.9,7.7,29%,8.8%,6.63,265,13,12,60.0,47,14,37,39,51,1.08,5.55,1.43
131,Adam Plutko,32,"6' 3""",215,AAA,MIN,2.1,7.4,33%,6.3%,4.00,244,13,12,60.0,52,8,29,14,49,2.07,4.35,1.10
132,Walter Pennington,26,"6' 2""",205,AAA,KC,3.0,11.9,55%,15.6%,2.96,240,37,2,59.2,39,6,15,20,79,0.63,2.26,0.99
133,Matt Manning,26,"6' 6""",195,AAA,DET,3.3,9.1,53%,12.1%,4.26,250,12,11,59.2,56,9,30,22,60,1.43,4.53,1.31
134,Landon Knack,27,"6' 2""",220,AAA,LAD,4.0,10.2,33%,14.6%,3.40,247,12,11,59.0,51,5,26,26,67,1.76,3.97,1.31
135,Luis Quinones,27,"6' 0""",205,AAA,TOR,6.1,10.7,29%,14.1%,3.62,264,28,-,59.0,49,3,30,40,70,1.64,4.58,1.51
136,Ryan Carpenter,33,"6' 5""",230,AAA,SD,4.7,6.7,41%,8.9%,7.62,281,14,14,59.0,81,19,58,31,44,0.91,8.85,1.90
137,Cory Abbott,28,"6' 2""",217,AAA,CWS,3.5,9.0,30%,6.3%,5.56,246,26,7,59.0,52,14,33,23,59,1.82,5.03,1.27
138,Logan VanWey,25,"6' 2""",205,AAA,HOU,4.6,12.4,49%,11.4%,3.73,253,49,-,58.2,52,7,23,30,81,1.00,3.53,1.40
139,Jack O'Loughlin,24,"6' 5""",223,AAA,OAK,4.0,9.1,37%,11.3%,5.42,269,20,9,58.2,77,13,41,26,59,1.38,6.29,1.76
140,Alec Gamboa,27,"6' 1""",205,AAA,LAD,3.5,6.0,56%,9.3%,3.77,258,19,9,58.2,61,3,23,23,39,0.99,3.53,1.43
141,Hayden Juenger,24,"6' 0""",180,AAA,TOR,3.2,8.0,41%,10.7%,3.77,249,45,-,58.1,59,5,26,21,52,1.07,4.01,1.37
142,Noah Davis,27,"6' 2""",195,AAA,COL,4.5,9.1,39%,8.7%,4.27,270,13,8,58.1,67,6,38,29,59,0.96,5.86,1.65
143,Max Meyer,25,"6' 0""",196,AAA,MIA,3.7,10.7,57%,10.5%,4.13,255,15,15,58.0,62,9,28,24,69,0.71,4.34,1.48
