Player,Age,Ht.,Wt.,Lvl.,Org,BB/9,K/9,GB%,SwSt%,FIP,BF,G,GS,IP,H,HR,ER,BB,K,GO/AO,ERA,WHIP
Jaden Hill,24,"6' 4""",234,AAA,COL,9.0,18.0,-,-,6.0,29,5,-,5.0,7,1,8,5,10,0.67,14.4,2.4
Francis Pena,23,"6' 1""",170,AAA,SD,7.2,3.6,-,-,4.8,21,6,-,5.0,2,0,2,4,2,0.63,3.6,1.2
Christian MacLeod,24,"6' 4""",227,AAA,MIN,1.8,9.0,-,-,4.4,21,1,1,5.0,6,1,4,1,5,0.0,7.2,1.4
Alfredo Zarraga,23,"5' 11""",158,AAA,TB,5.4,10.8,-,-,2.6,20,4,-,5.0,2,0,0,3,6,0.29,0.0,1.0
Kevin Kelly,26,"6' 2""",200,AAA,TB,0.0,15.4,78%,13.5%,0.0,18,5,-,4.2,4,0,0,0,8,0.2,0.0,0.86
David Griffin,28,"6' 0""",205,AAA,NYM,7.7,9.6,25%,11.1%,3.68,30,3,-,4.2,12,0,9,4,5,2.0,17.36,3.43
Julio Robaina,23,"5' 11""",170,AAA,HOU,3.9,9.6,46%,11.4%,2.25,21,1,1,4.2,6,0,2,2,5,0.6,3.86,1.71
Vladimir Gutierrez,28,"6' 1""",205,AAA,MIL,5.8,3.9,24%,12.1%,8.2,23,2,1,4.2,7,1,7,3,2,1.5,13.5,2.14
Florencio Serrano,24,"6' 1""",205,AAA,TEX,23.1,5.8,19%,1.9%,20.34,35,4,1,4.2,9,3,12,12,3,2.33,23.14,4.5
Brad Case,27,"6' 7""",242,AAA,PIT,5.8,1.9,50%,4.8%,12.49,24,2,-,4.2,6,2,5,3,1,0.5,9.64,1.93
Garrett Whitlock,28,"6' 5""",222,AAA,BOS,1.9,9.6,64%,21.3%,1.53,17,1,1,4.2,2,0,0,1,5,0.5,0.0,0.64
Hunter Dula,25,"6' 1""",205,AAA,SF,3.9,3.9,-,-,10.58,27,3,-,4.2,10,2,6,2,2,1.4,11.57,2.57
Ryan Hennen,26,"6' 0""",180,AAA,BAL,3.9,7.7,-,-,5.82,19,2,-,4.2,3,1,1,2,4,0.67,1.93,1.07
Bryce Montes de Oca,28,"6' 7""",265,AAA,NYM,17.4,13.5,-,-,13.91,27,6,-,4.2,3,2,4,9,7,2.0,7.71,2.57
Seth Martinez,29,"6' 2""",193,AAA,HOU,7.7,7.7,-,-,4.15,20,5,-,4.2,3,0,1,4,4,0.8,1.93,1.5
José Cisnero,35,"6' 3""",258,AAA,LAA,3.9,15.4,-,-,0.82,23,4,-,4.2,7,0,1,2,8,1.0,1.93,1.93
Tyler Matzek,33,"6' 3""",230,AAA,SF,5.8,5.8,-,-,10.11,22,5,-,4.2,4,2,3,3,3,2.0,5.79,1.5
Eric Torres,24,"6' 0""",195,AAA,LAA,15.4,7.7,-,-,7.72,26,4,-,4.2,5,0,6,8,4,1.67,11.57,2.79
Ryan Long,24,"6' 6""",240,AAA,BAL,0.0,7.7,-,-,10.58,21,1,-,4.2,8,3,6,0,4,3.5,11.57,1.71
R.J. Dabovich,25,"6' 3""",208,AAA,SF,12.5,10.4,46%,8.8%,5.88,27,4,-,4.1,6,0,5,6,5,0.5,10.38,2.77
Gavin Hollowell,26,"6' 7""",215,AAA,COL,8.3,12.5,38%,10.7%,7.1,26,6,-,4.1,6,1,8,4,6,0.8,16.62,2.31
Declan Cronin,26,"6' 4""",225,AAA,MIA,8.3,8.3,62%,10.1%,7.35,21,3,-,4.1,5,1,2,4,4,0.6,4.15,2.08
Chris Jefferson,27,"6' 2""",205,AAA,SEA,14.5,8.3,0%,6.9%,9.54,21,4,1,4.1,2,1,3,7,4,7.0,6.23,2.08
Sean Reid-Foley,28,"6' 3""",230,AAA,NYM,4.2,6.2,50%,7.4%,6.37,20,4,-,4.1,6,1,2,2,3,0.29,4.15,1.85
Andrew Bechtold,28,"6' 1""",185,AAA,TOR,14.5,12.5,40%,7.1%,8.57,28,4,-,4.1,8,1,6,7,6,0.75,12.46,3.46
Blake Treinen,36,"6' 5""",225,AAA,LAD,0.0,12.5,43%,17.3%,0.27,20,5,1,4.1,8,0,5,0,6,0.2,10.38,1.85
Kyle Hendricks,34,"6' 3""",190,AAA,CHC,6.2,12.5,46%,12.9%,2.47,20,1,1,4.1,5,0,1,3,6,1.0,2.08,1.85
